Trip Number,Purpose,Vehicle class,Trip type,Passengers,Date of enquiry,Leg 1 start date,Distance in kms,Travel time minutes,Total time elapsed(hours),Trip starts before 7 am,Trip ends after 6pm,Supplier id,Supplier Quote(including GST),Total google distance to the closest depot,Closest depot,Closest city id,Closest city Google distance(km)
#090520213,Wedding,Budget,One Way,35,05/09/2021,12/03/2022,23.183,21,0.35,No,Yes,317,431.25,29,694,426,24.3
#100120215,Other,Budget,Return,25,01/10/2021,23/10/2021,32.554,36,5.37,No,Yes,310,517.5,4,696,436,3.0
#092120217,Hen or Stag Do,Budget,Return,15,21/09/2021,30/10/2021,110.21,84,7.45,No,Yes,223,889.04,8,747,437,0.5
#070820216,Sports Game,Standard,Return,70,08/07/2021,24/10/2021,15.513,25,7.72,No,No,325,1518,10,742,455,4.5
#092120211,Corporate Event,Budget,Return,53,21/09/2021,17/12/2021,14.301,26,3.18,No,No,364,490,42,875,432,2.4
#092020212,Hen or Stag Do,Standard,Return,20,20/09/2021,27/11/2021,87.295,78,8.78,No,Yes,221,1020,99,826,453,2.2
#0913202112,Other,Budget,Return,20,13/09/2021,26/09/2021,53.29,64,8.52,No,No,308,490,8,700,519,3.3
#090620211,Christmas Party,Luxury,Return,53,06/09/2021,09/12/2021,544.835,447,31.95,Yes,No,331,3225,6,752,438,3.2
#090520215,Wedding,Standard,Return,28,05/09/2021,29/10/2021,27.478,42,2.4,No,Yes,308,690,18,701,429,0.3
#021420214,Wedding,Budget,Return,53,14/02/2021,12/02/2022,38.71,49,10.15,No,No,317,744.13,12,694,426,19.4
#0819202113,Family Trip,Budget,Return,30,19/08/2021,23/10/2021,11.687,14,5.12,No,Yes,246,600,160,769,507,2.6
#081720211,Sports Game,Budget,Return,40,17/08/2021,21/08/2021,34.644,29,2.25,No,No,223,437,32,746,467,4.4
#072220215,Wedding,Standard,Return,53,22/07/2021,10/12/2021,91.63,85,11.62,No,Yes,317,1153.98,14,695,426,12.2
#0719202122,Corporate Event,Budget,Return,50,19/07/2021,03/12/2021,49.112,41,6.92,No,No,211,800,44,773,426,1.2
#080620211,Corporate Event,Standard,Return,65,06/08/2021,10/09/2021,15.448,29,5.48,No,Yes,310,650,10,696,436,3.7
#0719202113,Corporate Event,Standard,Return,70,19/07/2021,01/09/2021,13.41,26,3.73,No,No,364,980,50,875,432,0.1
#0719202113,Corporate Event,Standard,Return,70,19/07/2021,01/09/2021,13.41,26,3.73,No,No,323,1458.2,10,740,432,0.1
#070920211,Hen or Stag Do,Budget,Return,45,09/07/2021,21/08/2021,9.516,20,3.17,No,No,310,240,4,696,436,2.1
#070620213,School Trip,Standard,Return,40,06/07/2021,28/08/2021,1063.633,796,87.67,Yes,Yes,323,5296.9,10,740,432,1.0
#062920218,Wedding,Standard,Return,36,29/06/2021,13/11/2021,15.418,18,7.15,No,Yes,341,500,38,829,489,1.2
#070120213,Corporate Event,Standard,Return,20,01/07/2021,07/08/2021,154.677,113,6.95,No,Yes,207,965,236,800,515,9.8
#062920215,Christmas Party,Standard,Return,53,29/06/2021,12/11/2021,38.22,40,6.83,No,Yes,314,700,6,714,452,2.5
#061620213,Sports Game,Standard,Return,95,16/06/2021,29/09/2021,264.223,200,47.65,No,No,319,6074.3,16,735,461,9.6
#0609202113,Corporate Event,Budget,Return,180,09/06/2021,25/07/2021,9.146,24,5.43,No,Yes,323,1252.35,10,740,432,0.9
#0623202110,Wedding,Budget,Return,60,23/06/2021,08/05/2022,45.827,35,22.3,Yes,No,314,906,46,718,476,2.6
#061820215,Corporate Event,Standard,One Way,90,18/06/2021,02/07/2021,4.16,12,0.2,No,No,211,1550,44,773,426,3.6
#061620218,Wedding,Standard,Return,50,16/06/2021,09/12/2021,28.319,33,9.77,No,No,192,1200,148,772,426,41.9
#061720212,School Trip,Standard,Return,49,17/06/2021,10/07/2021,16.138,27,2.72,No,No,343,750,12,758,452,3.4
#061720212,School Trip,Standard,Return,49,17/06/2021,10/07/2021,16.138,27,2.72,No,No,314,546,6,715,452,3.4
#053120211,Club or Society,Standard,Return,40,31/05/2021,16/07/2021,4.332,10,2.57,No,Yes,319,985,10,735,461,2.3
#060920212,Business Travel,Standard,Return,19,09/06/2021,25/06/2021,15.849,25,5.2,No,No,343,550,16,758,452,5.3
#060920211,Other,Budget,Return,35,09/06/2021,25/06/2021,39.812,46,7.37,No,No,343,600,38,758,476,4.1
#052620213,Club or Society,Standard,Return,40,26/05/2021,19/06/2021,13.265,22,3.18,No,No,343,460,6,758,529,10.3
#051720211,Corporate Event,Standard,Return,13,17/05/2021,11/06/2021,289.36,228,9.9,No,Yes,325,909.65,10,742,455,5.7
#051920212,Sports Game,Budget,Return,22,19/05/2021,05/06/2021,162.811,131,11.08,No,Yes,192,1035,30,772,426,18.0
#051120219,Wedding,Standard,Return,53,11/05/2021,13/01/2022,64.276,58,8.98,No,Yes,326,1025.8,48,745,426,1.6
#051020212,Corporate Event,Budget,Return,25,10/05/2021,12/06/2021,77.875,63,5.03,No,Yes,311,450,2,703,449,1.1
#051320217,Other,Budget,Return,16,13/05/2021,29/05/2021,88.864,88,4.73,No,Yes,331,950,80,748,496,13.7
#051320213,Corporate Event,Standard,Return,24,13/05/2021,29/05/2021,163.784,128,7.08,No,No,319,980,2,735,461,7.5
#050320218,Other,Standard,Return,30,03/05/2021,24/05/2021,163.288,142,14.18,No,Yes,323,1009.7,10,740,432,0.6
#031120218,Corporate Event,Budget,Return,16,11/03/2021,19/05/2021,179.632,148,5.73,No,Yes,318,735,10,693,451,0.9
#050320213,Other,Standard,Return,21,03/05/2021,23/05/2021,137.219,101,3.85,No,No,211,520,48,773,426,1.3
#050120215,Other,Budget,Return,15,01/05/2021,08/05/2021,95.165,89,9.23,No,No,313,790,48,720,552,9.6
#041220219,Other,Budget,Return,18,12/04/2021,02/09/2021,34.098,40,3.33,No,No,315,410,14,722,438,5.6
#042820212,Other,Budget,Return,17,28/04/2021,29/05/2021,6.049,13,2.1,No,No,251,178.25,24,770,443,6.8
#042720212,Sports Game,Budget,Return,30,27/04/2021,15/05/2021,541.712,401,12.83,No,Yes,311,1750,8,703,449,2.9
#042720211,Other,Budget,Return,10,27/04/2021,15/05/2021,170.931,155,6.83,No,No,323,727.95,6,740,432,2.3
#040720214,Wedding,Standard,Return,100,07/04/2021,01/04/2022,28.292,25,11.23,No,No,361,1100,2,873,484,0.0
#042620213,School Trip,Standard,Return,35,26/04/2021,01/05/2021,374.168,314,13.62,No,Yes,207,1660,118,800,426,18.5
#042620211,Other,Luxury,Return,16,26/04/2021,08/05/2021,41.936,39,3.57,No,Yes,207,350,122,800,426,22.3
#042320213,Educational Trip,Budget,Return,39,23/04/2021,13/05/2021,163.173,115,7.43,No,No,207,825,188,800,483,0.8
#042320211,Educational Trip,Standard,Return,20,23/04/2021,18/05/2021,581.687,448,78.2,No,No,246,4175,154,769,507,1.4
#042220215,Other,Luxury,One Way,9,22/04/2021,08/05/2021,21.752,29,0.48,Yes,No,326,349.6,46,745,426,20.6
#042220212,Other,Luxury,One Way,15,22/04/2021,22/05/2021,20.191,22,0.37,Yes,No,207,600,105,800,426,21.2
#0420202114,Corporate Event,Standard,Return,12,20/04/2021,21/11/2021,175.821,161,26.37,No,No,323,1007.4,4,740,432,6.5
#0420202111,Business Travel,Standard,Return,20,20/04/2021,05/05/2021,321.266,258,50.65,No,No,326,2396.6,32,745,426,18.0
#041920217,School Trip,Budget,Return,100,19/04/2021,29/04/2021,3.078,5,5.03,No,No,311,345,4,703,449,3.3
#042020213,Sports Game,Budget,Return,30,20/04/2021,24/04/2021,259.126,201,12.15,No,Yes,251,1058,92,770,538,0.4
#0419202113,Family Trip,Budget,One Way,50,19/04/2021,01/05/2021,32.238,32,0.53,No,No,326,644,86,745,426,18.3
#0419202115,School Trip,Budget,Return,40,19/04/2021,01/05/2021,378.766,321,11.18,No,Yes,326,1567.45,12,745,426,18.5
#041720212,School Trip,Standard,Return,50,17/04/2021,04/05/2021,101.348,84,6.2,No,No,343,775,20,758,529,0.2
#041320211,Business Travel,Budget,Return,25,13/04/2021,20/04/2021,30.654,30,1.5,No,No,211,300,36,773,426,14.3
#0412202112,Club or Society,Standard,Return,21,12/04/2021,19/04/2021,63.937,57,5.72,No,Yes,326,621,24,745,426,21.5
#041220217,Corporate Event,Standard,Return,57,12/04/2021,23/04/2021,30.244,37,2.8,No,No,251,471.5,0,770,443,6.6
#041220215,Other,Budget,Return,20,12/04/2021,01/05/2021,306.592,269,11.23,No,Yes,314,1440,0,715,452,4.8
#033120215,Corporate Event,Standard,Return,150,31/03/2021,11/05/2021,12.71,17,2.63,No,No,331,1125,38,748,467,5.3
#033120215,Corporate Event,Standard,Return,150,31/03/2021,11/05/2021,12.71,17,2.63,No,No,223,1389.2,32,746,467,5.3
#041120218,Other,Standard,One Way,20,11/04/2021,18/04/2021,11.012,14,0.23,No,No,251,310.5,18,770,443,8.1
#041120211,Sports Game,Luxury,Return,18,11/04/2021,17/04/2021,113.872,102,5.83,No,Yes,323,738.3,40,740,487,2.1
#040920214,School Trip,Budget,One Way,50,09/04/2021,17/04/2021,6.485,12,0.2,No,No,326,552,17,745,426,16.8
#040820215,Other,Luxury,One Way,30,08/04/2021,28/04/2021,98.285,70,1.17,No,No,326,2811.75,142,745,533,9.7
#040920212,Family Trip,Standard,Return,14,09/04/2021,19/04/2021,288.898,236,11.95,No,Yes,325,926.9,10,742,455,3.9
#040720214,Wedding,Standard,Return,100,07/04/2021,01/04/2022,28.292,25,11.23,No,No,223,3065.555,100,747,484,0.0
#030320219,Other,Luxury,One Way,30,03/03/2021,13/08/2021,0.231,0,0,No,Yes,312,90,14,698,512,2.2
#040820211,Sports Game,Standard,One Way,30,08/04/2021,17/04/2021,108.578,96,10.28,No,Yes,326,917.7,30,745,426,4.1
#040720218,Family Trip,Budget,Return,19,07/04/2021,18/04/2021,86.552,88,6.73,No,No,308,563.5,16,701,429,0.3
#040520216,Executive Travel,Budget,One Way,30,05/04/2021,22/04/2021,1.725,6,0.1,No,Yes,311,200,4,703,449,2.8
#0304202112,Wedding,Standard,Return,110,04/03/2021,15/01/2022,36.913,42,10.62,No,No,310,1160,6,696,436,2.3
#040520212,Other,Budget,One Way,60,05/04/2021,18/04/2021,25.756,25,0.42,Yes,No,314,525,48,718,476,4.3
#040320214,Wedding,Budget,One Way,30,03/04/2021,24/04/2021,24.828,22,0.37,No,Yes,349,320,28,870,461,20.0
#040320213,Club or Society,Budget,Return,40,03/04/2021,17/04/2021,17.593,30,3.23,No,No,311,425,2,703,449,3.2
#040220215,Club or Society,Luxury,One Way,40,02/04/2021,23/04/2021,1.141,2,0.03,No,Yes,251,368,1,770,443,5.7
#033120214,Educational Trip,Standard,Return,65,31/03/2021,15/04/2021,54.7,60,2.23,No,No,211,800,8,773,533,17.1
#033120212,Corporate Event,Standard,One Way,40,31/03/2021,13/04/2021,34.723,35,0.58,No,No,326,556.6,106,745,426,16.1
#033020213,Educational Trip,Standard,Return,23,30/03/2021,19/04/2021,9.108,17,4.63,No,No,326,454.25,22,745,426,9.3
#0311202111,Wedding,Budget,Return,50,11/03/2021,06/02/2022,50.416,56,12.45,No,No,223,700,30,746,467,5.0
#0311202111,Wedding,Budget,Return,50,11/03/2021,06/02/2022,50.416,56,12.45,No,No,332,1518,8,768,467,5.0
#032920215,Other,Budget,Return,25,29/03/2021,24/04/2021,278.745,227,9.38,No,Yes,349,832.6,34,870,461,5.3
#032920212,Other,Budget,Return,69,29/03/2021,16/04/2021,47.523,43,8.35,No,No,323,1334,12,740,432,1.6
#032820213,Corporate Event,Budget,One Way,28,28/03/2021,17/04/2021,8.891,13,0.22,No,No,325,201.25,9,742,455,4.2
#032720212,Other,Budget,Return,7,27/03/2021,25/04/2021,47.281,42,5.1,No,No,308,350,6,701,429,6.4
#032620215,Family Trip,Luxury,Return,10,26/03/2021,24/04/2021,125.777,127,5.57,No,No,326,454.25,72,745,506,27.2
#0316202118,Wedding,Budget,Return,50,16/03/2021,23/10/2021,46.783,52,10.42,No,No,235,700,32,795,517,6.5
#0316202118,Wedding,Budget,Return,50,16/03/2021,23/10/2021,46.783,52,10.42,No,No,206,483,20,853,517,6.5
#032620211,School Trip,Luxury,Return,25,26/03/2021,16/04/2021,10.026,23,3.18,No,No,326,419.75,20,745,533,21.6
#0316202118,Wedding,Budget,Return,50,16/03/2021,23/10/2021,46.783,52,10.42,No,No,313,1020.2,22,720,517,6.5
#032420218,Family Trip,Standard,One Way,20,24/03/2021,09/04/2021,139.181,112,1.87,No,No,251,793.5,140,770,443,1.5
#0316202118,Wedding,Budget,Return,50,16/03/2021,23/10/2021,46.783,52,10.42,No,No,351,989,40,765,517,6.5
#032420216,Club or Society,Budget,One Way,40,24/03/2021,03/04/2021,7.907,13,0.22,No,No,311,250,8,703,449,1.8
#032420214,Other,Standard,One Way,23,24/03/2021,09/04/2021,23.312,22,0.37,No,No,326,442.75,35,745,533,18.0
#032320215,Corporate Event,Standard,Return,35,23/03/2021,07/04/2021,13.784,19,4.4,No,Yes,331,385,28,748,547,0.1
#032220213,Educational Trip,Standard,Return,35,22/03/2021,04/06/2021,42.207,45,2.62,No,No,326,488.75,6,745,426,21.1
#032120213,Educational Trip,Standard,Return,55,21/03/2021,16/04/2021,54.624,63,5.02,No,No,326,754.4,62,745,426,9.4
#032020212,Concert,Luxury,Return,6,20/03/2021,30/09/2021,744.491,569,57.73,No,Yes,223,3924.95,8,747,437,0.0
#031920215,Educational Trip,Budget,Return,17,19/03/2021,21/04/2021,31.504,36,2.57,No,No,314,802,32,715,499,11.8
#0316202119,Club or Society,Budget,Return,30,16/03/2021,17/04/2021,308.88,250,13.6,No,Yes,318,1870,8,693,451,0.0
#031420213,Other,Budget,One Way,10,14/03/2021,10/04/2021,26.56,23,0.38,No,No,207,160,174,800,533,6.6
#031720214,Other,Budget,Return,50,17/03/2021,15/04/2021,1258.19,917,103.58,Yes,No,326,6391.7,32,745,426,18.1
#031820217,School Trip,Budget,Return,25,18/03/2021,22/04/2021,15.241,24,3.2,No,No,308,207,6,701,429,7.0
