,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach,Preds,Margin Of Error
0,0,0,35,23.183000000000003,21,0.35,431.25,0,0,1,0,0,0,358.53094432215846,-72.71905567784154
1,0,1,25,32.554,36,5.37,517.5,0,0,1,0,0,0,540.6785340425798,23.178534042579827
2,0,1,15,110.21,84,7.45,889.04,0,1,0,0,0,0,509.6333318314813,-379.40666816851865
3,0,1,70,15.513,25,7.72,1518.0,0,1,0,0,0,1,902.3625622416097,-615.6374377583903
4,0,1,53,14.300999999999998,26,3.18,490.0,0,0,0,0,0,1,657.0178334434189,167.0178334434189
5,0,1,20,87.295,78,8.78,1020.0,0,1,0,0,0,0,655.9048071994279,-364.09519280057214
6,0,1,20,53.29,64,8.52,490.0,0,1,0,0,0,0,675.1452899886593,185.14528998865933
7,1,1,53,544.835,447,31.95,3225.0,0,0,0,0,0,1,3198.2937842782653,-26.70621572173468
8,0,1,28,27.478,42,2.4,690.0,0,0,1,0,0,0,562.7954564614141,-127.20454353858588
9,0,1,53,38.71,49,10.15,744.13,0,0,0,0,0,1,772.4757910894062,28.345791089406248
10,0,1,30,11.687,14,5.12,600.0,0,0,1,0,0,0,515.8286754139793,-84.17132458602066
11,0,1,40,34.644,29,2.25,437.0,0,0,0,1,0,0,830.4567846418234,393.45678464182345
12,0,1,53,91.63,85,11.62,1153.98,0,0,0,0,0,1,1026.8042279533643,-127.17577204663576
13,0,1,50,49.112,41,6.92,800.0,0,0,0,0,0,1,934.5633780339798,134.5633780339798
14,0,1,65,15.448,29,5.48,650.0,0,1,0,0,0,1,737.9160810507695,87.91608105076955
15,0,1,70,13.41,26,3.73,980.0,0,1,0,0,0,1,767.2466296316874,-212.75337036831263
16,0,1,70,13.41,26,3.73,1458.2,0,1,0,0,0,1,767.2466296316874,-690.9533703683127
17,0,1,45,9.516,20,3.17,240.0,0,0,0,0,1,0,18.833437534080417,-221.16656246591958
18,0,1,40,1063.633,796,87.67,5296.9,0,0,0,1,0,0,6150.696552197269,853.7965521972692
19,0,1,36,15.418,18,7.15,500.0,0,0,1,0,0,0,573.6147772761418,73.61477727614181
20,0,1,20,154.67700000000005,113,6.95,965.0,0,1,0,0,0,0,746.9870162355313,-218.0129837644687
21,0,1,53,38.22,40,6.83,700.0,0,0,0,0,0,1,806.0997128414405,106.09971284144046
22,0,1,95,264.223,200,47.65,6074.3,0,0,0,1,0,1,4819.348633519194,-1254.9513664808064
23,0,1,180,9.146,24,5.43,1252.35,0,1,0,0,0,3,1800.082889043932,547.7328890439321
24,0,1,60,45.827,35,22.3,906.0,1,0,0,0,0,1,691.221552660509,-214.77844733949098
25,0,0,90,4.16,12,0.2,1550.0,0,0,0,1,0,1,1198.965628783329,-351.03437121667093
26,0,1,50,28.319000000000006,33,9.77,1200.0,0,0,0,0,0,1,718.1289375664732,-481.87106243352684
27,0,1,49,16.137999999999998,27,2.72,750.0,0,0,0,0,1,0,752.5013763175833,2.501376317583322
28,0,1,49,16.137999999999998,27,2.72,546.0,0,0,0,0,1,0,752.5013763175833,206.50137631758332
29,0,1,40,4.332,10,2.57,985.0,0,0,0,1,0,0,669.9680619013947,-315.03193809860534
30,0,1,19,15.849,25,5.2,550.0,0,1,0,0,0,0,496.6536478147558,-53.3463521852442
31,0,1,35,39.812,46,7.37,600.0,0,0,1,0,0,0,621.1184258434754,21.118425843475393
32,0,1,40,13.265,22,3.18,460.0,0,0,0,1,0,0,614.7019983043159,154.7019983043159
33,0,1,13,289.36,228,9.9,909.65,0,1,0,0,0,0,939.5988572727023,29.9488572727023
34,0,1,22,162.811,131,11.08,1035.0,0,1,0,0,0,0,866.2768993941667,-168.72310060583334
35,0,1,53,64.27600000000001,58,8.98,1025.8,0,0,0,0,0,1,922.2901288404195,-103.50987115958048
36,0,1,25,77.875,63,5.03,450.0,0,0,1,0,0,0,624.3965951340455,174.39659513404547
37,0,1,16,88.86399999999998,88,4.73,950.0,0,1,0,0,0,0,700.4931907296362,-249.50680927036376
38,0,1,24,163.784,128,7.08,980.0,0,0,1,0,0,0,855.0257855814947,-124.97421441850531
39,0,1,30,163.28799999999995,142,14.18,1009.7,0,0,1,0,0,0,1047.4207128393996,37.72071283939954
40,0,1,16,179.632,148,5.73,735.0,0,1,0,0,0,0,767.3982379129687,32.39823791296874
