,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach,Preds,Margin Of Error
0,0,0,35,23.183000000000003,21,0.35,431.25,0,0,1,0,0,0,416.3092346191406,-14.940765380859375
1,0,1,25,32.554,36,5.37,517.5,0,0,1,0,0,0,426.84423828125,-90.65576171875
2,0,1,15,110.21,84,7.45,889.04,0,1,0,0,0,0,495.1835021972656,-393.85649780273434
3,0,1,70,15.513,25,7.72,1518.0,0,1,0,0,0,1,978.8551635742188,-539.1448364257812
4,0,1,53,14.300999999999998,26,3.18,490.0,0,0,0,0,0,1,710.5016479492188,220.50164794921875
5,0,1,20,87.295,78,8.78,1020.0,0,1,0,0,0,0,596.0977783203125,-423.9022216796875
6,0,1,20,53.29,64,8.52,490.0,0,1,0,0,0,0,560.41748046875,70.41748046875
7,1,1,53,544.835,447,31.95,3225.0,0,0,0,0,0,1,3463.14599609375,238.14599609375
8,0,1,28,27.478,42,2.4,690.0,0,0,1,0,0,0,403.6487121582031,-286.3512878417969
9,0,1,53,38.71,49,10.15,744.13,0,0,0,0,0,1,902.5166015625,158.3866015625
10,0,1,30,11.687,14,5.12,600.0,0,0,1,0,0,0,467.57562255859375,-132.42437744140625
11,0,1,40,34.644,29,2.25,437.0,0,0,0,1,0,0,380.8125305175781,-56.187469482421875
12,0,1,53,91.63,85,11.62,1153.98,0,0,0,0,0,1,1124.673583984375,-29.306416015625018
13,0,1,50,49.112,41,6.92,800.0,0,0,0,0,0,1,675.4974975585938,-124.50250244140625
14,0,1,65,15.448,29,5.48,650.0,0,1,0,0,0,1,923.00439453125,273.00439453125
15,0,1,70,13.41,26,3.73,980.0,0,1,0,0,0,1,893.5496826171875,-86.4503173828125
16,0,1,70,13.41,26,3.73,1458.2,0,1,0,0,0,1,893.5496826171875,-564.6503173828125
17,0,1,45,9.516,20,3.17,240.0,0,0,0,0,1,0,581.1727294921875,341.1727294921875
18,0,1,40,1063.633,796,87.67,5296.9,0,0,0,1,0,0,5441.0458984375,144.14589843750036
19,0,1,36,15.418,18,7.15,500.0,0,0,1,0,0,0,595.0302734375,95.0302734375
20,0,1,20,154.67700000000005,113,6.95,965.0,0,1,0,0,0,0,699.4525146484375,-265.5474853515625
21,0,1,53,38.22,40,6.83,700.0,0,0,0,0,0,1,745.5541381835938,45.55413818359375
22,0,1,95,264.223,200,47.65,6074.3,0,0,0,1,0,1,5396.26416015625,-678.0358398437502
23,0,1,180,9.146,24,5.43,1252.35,0,1,0,0,0,3,1526.201904296875,273.8519042968751
24,0,1,60,45.827,35,22.3,906.0,1,0,0,0,0,1,1228.916748046875,322.916748046875
25,0,0,90,4.16,12,0.2,1550.0,0,0,0,1,0,1,738.0540771484375,-811.9459228515625
26,0,1,50,28.319000000000006,33,9.77,1200.0,0,0,0,0,0,1,889.03857421875,-310.96142578125
27,0,1,49,16.137999999999998,27,2.72,750.0,0,0,0,0,1,0,618.63232421875,-131.36767578125
