,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach
0,0,0,35,23.183000000000003,21,0.35,431.25,0,0,1,0,0,0
1,0,1,25,32.554,36,5.37,517.5,0,0,1,0,0,0
2,0,1,15,110.21,84,7.45,889.04,0,1,0,0,0,0
3,0,1,70,15.513,25,7.72,1518.0,0,1,0,0,0,1
4,0,1,53,14.300999999999998,26,3.18,490.0,0,0,0,0,0,1
5,0,1,20,87.295,78,8.78,1020.0,0,1,0,0,0,0
6,0,1,20,53.29,64,8.52,490.0,0,1,0,0,0,0
7,1,1,53,544.835,447,31.95,3225.0,0,0,0,0,0,1
8,0,1,28,27.478,42,2.4,690.0,0,0,1,0,0,0
9,0,1,53,38.71,49,10.15,744.13,0,0,0,0,0,1
10,0,1,30,11.687000000000001,14,5.12,600.0,0,0,1,0,0,0
11,0,1,40,34.644,29,2.25,437.0,0,0,0,1,0,0
12,0,1,53,91.63,85,11.62,1153.98,0,0,0,0,0,1
13,0,1,50,49.111999999999995,41,6.92,800.0,0,0,0,0,0,1
14,0,1,65,15.448,29,5.48,650.0,0,1,0,0,0,1
15,0,1,70,13.41,26,3.73,980.0,0,1,0,0,0,1
16,0,1,70,13.41,26,3.73,1458.2,0,1,0,0,0,1
17,0,1,45,9.516,20,3.17,240.0,0,0,0,0,1,0
18,0,1,40,1063.633,796,87.67,5296.9,0,0,0,1,0,0
19,0,1,36,15.418,18,7.15,500.0,0,0,1,0,0,0
20,0,1,20,154.67700000000002,113,6.95,965.0,0,1,0,0,0,0
21,0,1,53,38.22,40,6.83,700.0,0,0,0,0,0,1
22,0,1,95,264.223,200,47.65,6074.3,0,0,0,1,0,1
23,0,1,180,9.146,24,5.43,1252.35,0,1,0,0,0,3
24,0,1,60,45.827,35,22.3,906.0,1,0,0,0,0,1
25,0,0,90,4.16,12,0.2,1550.0,0,0,0,1,0,1
26,0,1,50,28.319000000000003,33,9.77,1200.0,0,0,0,0,0,1
27,0,1,49,16.137999999999998,27,2.72,750.0,0,0,0,0,1,0
28,0,1,49,16.137999999999998,27,2.72,546.0,0,0,0,0,1,0
29,0,1,40,4.332,10,2.57,985.0,0,0,0,1,0,0
30,0,1,19,15.849,25,5.2,550.0,0,1,0,0,0,0
31,0,1,35,39.812,46,7.37,600.0,0,0,1,0,0,0
32,0,1,40,13.265,22,3.18,460.0,0,0,0,1,0,0
33,0,1,13,289.36,228,9.9,909.65,0,1,0,0,0,0
34,0,1,22,162.811,131,11.08,1035.0,0,1,0,0,0,0
35,0,1,53,64.27600000000001,58,8.98,1025.8,0,0,0,0,0,1
36,0,1,25,77.875,63,5.03,450.0,0,0,1,0,0,0
37,0,1,16,88.86399999999999,88,4.73,950.0,0,1,0,0,0,0
38,0,1,24,163.784,128,7.08,980.0,0,0,1,0,0,0
39,0,1,30,163.28799999999998,142,14.18,1009.7,0,0,1,0,0,0
40,0,1,16,179.632,148,5.73,735.0,0,1,0,0,0,0
41,0,1,21,137.219,101,3.85,520.0,0,1,0,0,0,0
42,0,1,15,95.165,89,9.23,790.0,0,1,0,0,0,0
43,0,1,18,34.098,40,3.33,410.0,0,1,0,0,0,0
44,0,1,17,6.0489999999999995,13,2.1,178.25,0,1,0,0,0,0
45,0,1,30,541.712,401,12.83,1750.0,0,0,1,0,0,0
46,0,1,10,170.93099999999998,155,6.83,727.95,1,0,0,0,0,0
47,0,1,100,28.291999999999998,25,11.23,1100.0,0,0,0,0,1,1
48,0,1,35,374.168,314,13.62,1660.0,0,0,1,0,0,0
49,1,1,16,41.93600000000001,39,3.57,350.0,0,1,0,0,0,0
50,0,1,39,163.173,115,7.43,825.0,0,0,0,1,0,0
51,0,1,20,581.687,448,78.2,4175.0,0,1,0,0,0,0
52,1,0,9,21.752,29,0.48,349.6,1,0,0,0,0,0
53,1,0,15,20.191,22,0.37,600.0,0,1,0,0,0,0
54,0,1,12,175.821,161,26.37,1007.4,0,1,0,0,0,0
55,0,1,20,321.26599999999996,258,50.65,2396.6,0,1,0,0,0,0
56,0,1,100,3.0780000000000003,5,5.03,345.0,0,0,0,0,1,1
57,0,1,30,259.126,201,12.15,1058.0,0,0,1,0,0,0
58,0,0,50,32.238,32,0.53,644.0,0,0,0,0,0,1
59,0,1,40,378.76599999999996,321,11.18,1567.45,0,0,0,1,0,0
60,0,1,50,101.348,84,6.2,775.0,0,0,0,0,0,1
61,0,1,25,30.654,30,1.5,300.0,0,0,1,0,0,0
62,0,1,21,63.937,57,5.72,621.0,0,1,0,0,0,0
63,0,1,57,30.244,37,2.8,471.5,1,0,0,0,0,1
64,0,1,20,306.592,269,11.23,1440.0,0,1,0,0,0,0
65,0,1,150,12.71,17,2.63,1125.0,0,0,0,1,0,2
66,0,1,150,12.71,17,2.63,1389.2,0,0,0,1,0,2
67,0,0,20,11.012,14,0.23,310.5,0,1,0,0,0,0
68,1,1,18,113.87200000000001,102,5.83,738.3,0,1,0,0,0,0
69,0,0,50,6.485,12,0.2,552.0,0,0,0,0,0,1
70,1,0,30,98.285,70,1.17,2811.75,0,0,1,0,0,0
71,0,1,14,288.89799999999997,236,11.95,926.9,0,1,0,0,0,0
72,0,1,100,28.291999999999998,25,11.23,3065.555,0,0,0,0,1,1
73,1,0,30,0.231,0,0.0,90.0,0,0,1,0,0,0
74,0,0,30,108.57799999999999,96,10.28,917.7,0,0,1,0,0,0
75,0,1,19,86.552,88,6.73,563.5,0,1,0,0,0,0
76,0,0,30,1.725,6,0.1,200.0,0,0,1,0,0,0
77,0,1,110,36.913000000000004,42,10.62,1160.0,1,0,0,0,0,2
78,0,0,60,25.756,25,0.42,525.0,1,0,0,0,0,1
79,0,0,30,24.828000000000003,22,0.37,320.0,0,0,1,0,0,0
80,0,1,40,17.593,30,3.23,425.0,0,0,0,1,0,0
81,1,0,40,1.141,2,0.03,368.0,0,0,0,1,0,0
82,0,1,65,54.7,60,2.23,800.0,0,1,0,0,0,1
83,0,0,40,34.723,35,0.58,556.6,0,0,0,1,0,0
84,0,1,23,9.107999999999999,17,4.63,454.25,0,1,0,0,0,0
85,0,1,50,50.416000000000004,56,12.45,700.0,0,0,0,0,0,1
86,0,1,50,50.416000000000004,56,12.45,1518.0,0,0,0,0,0,1
87,0,1,25,278.745,227,9.38,832.6,0,0,1,0,0,0
88,0,1,69,47.523,43,8.35,1334.0,0,1,0,0,0,1
89,0,0,28,8.891,13,0.22,201.25,0,0,1,0,0,0
90,0,1,7,47.281000000000006,42,5.1,350.0,1,0,0,0,0,0
91,1,1,10,125.777,127,5.57,454.25,1,0,0,0,0,0
92,0,1,50,46.783,52,10.42,700.0,0,0,0,0,0,1
93,0,1,50,46.783,52,10.42,483.0,0,0,0,0,0,1
94,1,1,25,10.026,23,3.18,419.75,0,0,1,0,0,0
95,0,1,50,46.783,52,10.42,1020.2,0,0,0,0,0,1
96,0,0,20,139.181,112,1.87,793.5,0,1,0,0,0,0
97,0,1,50,46.783,52,10.42,989.0,0,0,0,0,0,1
98,0,0,40,7.907,13,0.22,250.0,0,0,0,1,0,0
99,0,0,23,23.311999999999998,22,0.37,442.75,0,1,0,0,0,0
100,0,1,35,13.784,19,4.4,385.0,0,0,1,0,0,0
101,0,1,35,42.207,45,2.62,488.75,0,0,1,0,0,0
102,0,1,55,54.623999999999995,63,5.02,754.4,1,0,0,0,0,1
103,1,1,6,744.4910000000001,569,57.73,3924.95,1,0,0,0,0,0
104,0,1,17,31.504,36,2.57,802.0,0,1,0,0,0,0
105,0,1,30,308.88,250,13.6,1870.0,0,0,1,0,0,0
